Input File:
1 ((11, 1), 0)
211 ((11, 2), 0)
254 ((11, 3), 0)
271 ((11, 4), 0)
279 ((11, 5), 0)
285 ((11, 6), 0)
290 ((11, 7), 0)
293 ((11, 8), 0)
295 ((11, 9), 0)
297 ((11, 10), 0)
298 ((11, 11), 0)
299 ((11, 12), 0)
2 ((12, 1), 4.7636416907261605)
3 ((12, 2), 5.194428907734789)
4 ((12, 4), 6.3401917459099195)
5 ((12, 5), 7.125016348901795)
6 ((12, 6), 8.130102354155952)
7 ((13, 0), 8.74616226255523)
8 ((12, 7), 9.462322208025626)
212 ((13, 1), 9.462322208025626)
9 ((13, 2), 10.304846468766016)
10 ((12, 8), 11.30993247402023)
213 ((13, 3), 11.30993247402023)
11 ((14, 0), 12.994616791916485)
12 ((13, 5), 14.036243467926454)
214 ((14, 1), 14.036243467926454)
13 ((14, 2), 15.255118703057747)
14 ((13, 6), 15.945395900922847)
15 ((14, 3), 16.699244233993625)
16 ((15, 0), 17.10272896905235)
17 ((14, 4), 18.434948822922024)
18 ((15, 2), 19.98310652189997)
19 ((14, 5), 20.55604521958344)
20 ((16, 0), 21.037511025421793)
21 ((13, 8), 21.801409486351815)
215 ((15, 3), 21.801409486351815)
22 ((14, 6), 23.198590513648185)
23 ((15, 4), 23.96248897457815)
24 ((16, 2), 24.44395478041656)
25 ((17, 0), 24.775140568831944)
26 ((14, 7), 26.565051177077976)
216 ((15, 5), 26.565051177077976)
255 ((16, 3), 26.565051177077976)
272 ((17, 1), 26.565051177077976)
27 ((18, 0), 28.300755766006375)
28 ((17, 2), 28.61045966596521)
29 ((16, 4), 29.054604099077153)
30 ((15, 6), 29.744881296942197)
31 ((18, 1), 30.256437163529256)
32 ((14, 8), 30.96375653207349)
33 ((19, 0), 31.607502246248885)
34 ((16, 5), 32.005383208083515)
35 ((13, 10), 33.69006752597977)
36 ((18, 3), 34.992020198558635)
37 ((16, 6), 35.537677791974374)
38 ((19, 2), 36.0273733851036)
39 ((14, 9), 36.86989764584405)
217 ((17, 5), 36.86989764584405)
40 ((18, 4), 37.874983651098205)
41 ((15, 8), 38.65980825409008)
42 ((16, 7), 39.80557109226521)
43 ((17, 6), 40.60129464500449)
44 ((18, 5), 41.18592516570965)
45 ((19, 4), 41.63353933657021)
46 ((12, 12), 45.0)
218 ((14, 10), 45.0)
256 ((15, 9), 45.0)
273 ((16, 8), 45.0)
280 ((18, 6), 45.0)
286 ((19, 5), 45.0)
47 ((19, 6), 48.81407483429035)
48 ((18, 7), 49.39870535499551)
49 ((17, 8), 50.19442890773479)
50 ((16, 9), 51.34019174590992)
51 ((15, 10), 53.13010235415595)
219 ((19, 7), 53.13010235415595)
52 ((18, 8), 54.462322208025626)
53 ((17, 9), 56.30993247402023)
